cidade,uf,mes,ano,mes_ano,n_usuarios_internet,velocidade_media_mbps,n_dispositivos_conectados,indice_inovacao,investimento_publico_tecnologia,eventos_tecnologicos_realizados,startups_ativas,patentes_registradas
Rio de Janeiro,RJ,1,2004,2004m01,50091,64.41,58353,0.104,783967.57,1,213,1
Curitiba,PR,2,2004,2004m02,49841,50.84,95250,0.335,596931.98,2,278,5
Recife,PE,3,2004,2004m03,50471,45.94,53265,0.608,388154.29,3,84,4
Porto Alegre,RS,4,2004,2004m04,50020,58.17,87852,0.514,874003.01,4,263,6
Salvador,BA,5,2004,2004m05,50245,45.69,74703,0.073,549235.64,2,186,4
Manaus,AM,6,2004,2004m06,49829,38.97,54859,0.716,597547.19,2,299,5
Fortaleza,CE,7,2004,2004m07,50065,25.79,62002,0.375,775833.35,4,11,2
São Paulo,SP,8,2004,2004m08,50536,40.74,10367,0.934,547515.53,2,223,7
Manaus,AM,9,2004,2004m09,50005,87.42,18891,0.275,232074.92,2,288,7
Porto Alegre,RS,10,2004,2004m10,49553,50.54,43298,0.981,248676.62,1,277,5
Salvador,BA,11,2004,2004m11,49859,34.74,64538,0.878,841114.22,1,243,3
Porto Alegre,RS,12,2004,2004m12,49808,69.0,98919,0.741,809916.38,4,48,7
Porto Alegre,RS,1,2005,2005m01,49905,49.3,23041,0.221,116044.61,4,70,4
Manaus,AM,2,2005,2005m02,50047,54.38,18463,0.669,602518.35,2,146,5
São Paulo,SP,3,2005,2005m03,49965,54.11,19759,0.154,466948.05,4,35,4
Rio de Janeiro,RJ,4,2005,2005m04,50069,72.28,58308,0.602,198555.08,3,168,2
Porto Alegre,RS,5,2005,2005m05,50124,30.07,52343,0.697,545007.2,3,82,8
Manaus,AM,6,2005,2005m06,49896,71.89,93641,0.331,946244.51,0,211,2
Salvador,BA,7,2005,2005m07,49826,61.18,93579,0.994,526466.23,4,296,7
Porto Alegre,RS,8,2005,2005m08,50305,,60439,0.087,650712.36,5,253,5
Belo Horizonte,MG,9,2005,2005m09,49631,37.19,92347,0.601,923989.44,3,140,3
Brasília,DF,10,2005,2005m10,50035,46.3,52098,0.721,292848.59,3,265,7
Brasília,DF,11,2005,2005m11,49730,50.64,77359,0.144,492712.16,3,184,4
São Paulo,SP,12,2005,2005m12,49961,77.13,29843,0.9,316844.1,2,102,7
Brasília,DF,1,2006,2006m01,49864,71.53,50140,0.563,993098.16,2,103,2
São Paulo,SP,2,2006,2006m02,49952,44.18,36967,0.964,119558.06,3,268,6
Brasília,DF,3,2006,2006m03,50373,80.14,81089,0.462,864910.51,0,256,6
São Paulo,SP,4,2006,2006m04,49818,64.26,78869,0.944,466473.0,3,144,6
Salvador,BA,5,2006,2006m05,50246,57.07,74852,0.569,981642.43,5,157,5
Brasília,DF,6,2006,2006m06,49848,45.78,16302,0.22,520759.05,5,154,6
Recife,PE,7,2006,2006m07,49866,41.34,65211,0.441,672066.26,3,295,8
Curitiba,PR,8,2006,2006m08,49862,58.14,92539,0.447,612145.62,4,173,6
Fortaleza,CE,9,2006,2006m09,50237,55.76,35280,0.885,196210.9,2,54,3
São Paulo,SP,10,2006,2006m10,49901,44.14,12177,0.524,954336.82,2,107,6
Manaus,AM,11,2006,2006m11,50093,66.71,35156,0.814,663794.43,5,82,4
Rio de Janeiro,RJ,12,2006,2006m12,49887,52.45,30003,0.821,356768.18,5,245,6
Porto Alegre,RS,1,2007,2007m01,49929,56.27,70880,0.507,398390.9,1,154,9
Manaus,AM,2,2007,2007m02,49753,66.09,46875,0.1,128852.43,2,38,8
Recife,PE,3,2007,2007m03,49953,62.4,32613,0.805,296843.41,2,78,7
Salvador,BA,4,2007,2007m04,50046,25.7,43772,0.94,483558.99,5,28,2
Rio de Janeiro,RJ,5,2007,2007m05,49667,61.43,82408,0.976,334134.78,3,111,4
Brasília,DF,6,2007,2007m06,49949,50.42,85876,0.261,280725.59,2,80,5
Belo Horizonte,MG,7,2007,2007m07,50223,43.29,28461,0.143,654961.31,4,95,7
Porto Alegre,RS,8,2007,2007m08,50111,50.78,27864,0.146,609822.87,0,221,6
Porto Alegre,RS,9,2007,2007m09,50501,45.41,33472,0.683,901730.08,2,45,3
Porto Alegre,RS,10,2007,2007m10,50244,51.9,87266,0.942,567311.02,1,94,3
Brasília,DF,11,2007,2007m11,49995,49.69,63550,0.083,597121.22,3,53,7
Belo Horizonte,MG,12,2007,2007m12,49921,60.31,62921,0.462,328467.02,2,197,5
Curitiba,PR,1,2008,2008m01,50055,27.02,81385,0.715,909841.25,5,21,12
Belo Horizonte,MG,2,2008,2008m02,49973,52.76,64361,0.809,974310.98,4,45,12
Belo Horizonte,MG,3,2008,2008m03,49630,49.57,74486,0.457,537000.34,2,186,4
Manaus,AM,4,2008,2008m04,50068,83.77,67937,0.005,166171.13,2,109,8
São Paulo,SP,5,2008,2008m05,49948,20.64,83023,0.131,345027.57,3,147,4
Curitiba,PR,6,2008,2008m06,49632,63.83,35296,0.08,109681.7,2,285,6
Rio de Janeiro,RJ,7,2008,2008m07,50336,56.5,28969,0.533,269580.58,6,198,5
São Paulo,SP,8,2008,2008m08,49953,61.49,20337,0.717,111831.89,4,119,3
Belo Horizonte,MG,9,2008,2008m09,50238,43.29,36797,0.745,680800.87,1,96,4
Recife,PE,10,2008,2008m10,50005,54.79,92404,0.329,845829.24,3,269,6
Brasília,DF,11,2008,2008m11,50131,52.18,79109,0.224,881215.84,4,183,3
Manaus,AM,12,2008,2008m12,49973,103.04,89752,0.488,334560.01,4,284,2
Salvador,BA,1,2009,2009m01,49978,45.36,88771,0.497,596104.16,2,103,9
São Paulo,SP,2,2009,2009m02,50069,38.22,63972,0.871,731627.29,3,186,3
Recife,PE,3,2009,2009m03,49738,80.02,11018,0.858,755295.31,2,233,3
Curitiba,PR,4,2009,2009m04,50184,,90336,0.167,132490.48,2,233,11
São Paulo,SP,5,2009,2009m05,49770,57.71,23759,0.07,304238.05,2,284,4
Porto Alegre,RS,6,2009,2009m06,50043,,22493,0.445,441514.67,6,229,4
Porto Alegre,RS,7,2009,2009m07,50382,51.15,80716,0.583,342645.28,4,196,1
São Paulo,SP,8,2009,2009m08,50105,43.71,24131,0.936,801901.58,1,237,5
Salvador,BA,9,2009,2009m09,49931,51.99,15860,0.882,236602.34,3,171,4
Recife,PE,10,2009,2009m10,49810,37.39,34532,0.812,927404.49,2,49,4
São Paulo,SP,11,2009,2009m11,49740,28.21,32638,0.949,873489.36,4,278,4
Manaus,AM,12,2009,2009m12,50014,37.35,85362,0.703,565816.69,4,130,6
Curitiba,PR,1,2010,2010m01,49685,14.57,27564,0.16,840229.1,3,251,4
Salvador,BA,2,2010,2010m02,49811,44.53,24312,0.887,445168.05,2,18,2
Rio de Janeiro,RJ,3,2010,2010m03,49790,42.5,44801,0.7,249458.81,4,283,6
Rio de Janeiro,RJ,4,2010,2010m04,49641,59.05,57457,0.768,382631.54,2,124,5
Recife,PE,5,2010,2010m05,49997,51.94,88968,0.551,105661.7,1,67,9
Brasília,DF,6,2010,2010m06,50511,47.91,53594,0.818,978681.91,3,259,5
Rio de Janeiro,RJ,7,2010,2010m07,49755,67.66,48891,0.099,796659.81,3,42,6
Recife,PE,8,2010,2010m08,49821,,92121,0.702,101260.38,4,149,6
Rio de Janeiro,RJ,9,2010,2010m09,49862,,18736,0.434,844167.31,3,145,6
Curitiba,PR,10,2010,2010m10,50110,12.09,89868,0.194,261742.79,1,15,3
Curitiba,PR,11,2010,2010m11,50139,50.37,24851,0.402,935379.93,2,78,4
Salvador,BA,12,2010,2010m12,49689,49.2,71555,0.861,279889.01,3,208,3
Manaus,AM,1,2011,2011m01,49787,69.04,21608,0.229,291448.41,3,143,3
Salvador,BA,2,2011,2011m02,50017,36.99,13635,0.642,942254.21,1,293,8
Fortaleza,CE,3,2011,2011m03,50175,61.25,64397,0.762,542084.16,2,91,5
Rio de Janeiro,RJ,4,2011,2011m04,49534,12.75,68934,0.329,186621.07,5,28,9
Fortaleza,CE,5,2011,2011m05,50039,30.51,32741,0.265,602860.03,4,107,6
Porto Alegre,RS,6,2011,2011m06,49999,55.75,57079,0.691,647636.47,3,238,1
Belo Horizonte,MG,7,2011,2011m07,49915,60.34,83853,0.089,707350.49,7,54,5
São Paulo,SP,8,2011,2011m08,50485,25.11,37630,0.557,492263.42,4,180,6
Salvador,BA,9,2011,2011m09,49560,38.08,61628,0.878,785221.81,3,258,3
Manaus,AM,10,2011,2011m10,50273,50.68,76203,0.604,743410.48,1,79,3
Salvador,BA,11,2011,2011m11,50193,48.57,83020,0.375,106836.77,3,41,6
Salvador,BA,12,2011,2011m12,50234,58.21,96829,0.771,456573.6,5,40,5
Fortaleza,CE,1,2012,2012m01,49766,63.7,90835,0.365,434455.29,3,176,6
Salvador,BA,2,2012,2012m02,50047,30.83,95799,0.251,958380.97,4,288,5
Brasília,DF,3,2012,2012m03,50037,56.66,76258,0.088,129547.12,0,169,4
Porto Alegre,RS,4,2012,2012m04,50065,39.21,15886,0.869,341181.15,2,93,3
Manaus,AM,5,2012,2012m05,49782,55.03,85480,0.642,186758.45,3,106,6
São Paulo,SP,6,2012,2012m06,50029,43.0,38012,0.473,114960.67,7,235,5
Belo Horizonte,MG,7,2012,2012m07,50247,66.15,76670,0.644,635270.56,0,83,11
Salvador,BA,8,2012,2012m08,50074,58.8,10223,0.161,745610.1,3,142,1
São Paulo,SP,9,2012,2012m09,49927,35.17,17888,0.027,425185.79,9,97,7
Porto Alegre,RS,10,2012,2012m10,50079,24.82,87475,0.805,866125.71,3,115,7
Belo Horizonte,MG,11,2012,2012m11,49765,67.84,84168,0.904,143581.15,0,294,5
Manaus,AM,12,2012,2012m12,49848,39.41,32753,0.1,532134.27,4,233,4
São Paulo,SP,1,2013,2013m01,50071,40.97,71420,0.426,860504.48,1,177,1
Rio de Janeiro,RJ,2,2013,2013m02,49423,61.13,57614,0.905,839130.34,2,174,7
Manaus,AM,3,2013,2013m03,50319,34.65,49516,0.81,569949.6,7,193,4
Curitiba,PR,4,2013,2013m04,50047,,62015,0.403,983079.5,3,211,2
Salvador,BA,5,2013,2013m05,50095,50.28,88772,0.095,122948.29,6,31,7
Recife,PE,6,2013,2013m06,50093,48.78,71118,0.323,846937.83,6,253,4
Recife,PE,7,2013,2013m07,50250,67.93,79486,0.812,897799.7,4,283,5
Manaus,AM,8,2013,2013m08,49889,56.99,33889,0.236,550676.29,2,212,4
Salvador,BA,9,2013,2013m09,49992,64.69,40742,0.931,741517.22,4,108,3
Curitiba,PR,10,2013,2013m10,49608,46.25,11861,0.364,642030.14,1,15,4
Fortaleza,CE,11,2013,2013m11,50283,39.14,33716,0.853,278751.2,4,164,5
Manaus,AM,12,2013,2013m12,50101,65.58,90859,0.427,593191.67,3,175,5
São Paulo,SP,1,2014,2014m01,49649,41.44,35315,0.533,424822.43,0,294,5
Belo Horizonte,MG,2,2014,2014m02,49823,51.85,11415,0.796,783181.01,2,258,4
Fortaleza,CE,3,2014,2014m03,50047,56.35,63657,0.315,864206.33,1,81,5
Rio de Janeiro,RJ,4,2014,2014m04,50027,38.46,53938,0.011,618876.81,6,49,7
Rio de Janeiro,RJ,5,2014,2014m05,49850,38.5,72013,0.174,508193.69,3,35,8
Curitiba,PR,6,2014,2014m06,49819,45.93,10627,0.376,728949.56,5,58,2
Manaus,AM,7,2014,2014m07,49748,61.16,18703,0.956,387394.33,6,233,3
Recife,PE,8,2014,2014m08,49948,55.19,54539,0.927,561526.3,2,217,1
Manaus,AM,9,2014,2014m09,50019,29.7,79175,0.959,199138.92,3,180,4
Recife,PE,10,2014,2014m10,50218,79.29,59913,0.883,746584.3,4,232,7
Fortaleza,CE,11,2014,2014m11,50214,55.7,53205,0.76,257559.75,5,71,5
Recife,PE,12,2014,2014m12,50088,43.65,34081,0.015,675229.1,1,242,4
Rio de Janeiro,RJ,1,2015,2015m01,50337,47.71,74263,0.441,869756.78,2,242,4
Recife,PE,2,2015,2015m02,50066,46.37,39168,0.967,204989.6,2,39,7
São Paulo,SP,3,2015,2015m03,49925,44.42,52299,0.111,877577.96,6,275,5
Manaus,AM,4,2015,2015m04,49716,67.49,66668,0.73,769572.92,0,202,6
Brasília,DF,5,2015,2015m05,50169,85.65,54770,0.742,473645.52,2,242,2
Recife,PE,6,2015,2015m06,50240,42.31,84128,0.214,609854.3,4,68,5
Recife,PE,7,2015,2015m07,50080,43.14,16725,0.928,419124.38,0,134,5
Brasília,DF,8,2015,2015m08,50251,48.65,62910,0.215,659177.86,3,239,8
Salvador,BA,9,2015,2015m09,50166,29.35,55639,0.944,399926.33,3,77,4
Porto Alegre,RS,10,2015,2015m10,50252,57.92,87539,0.601,418768.57,3,85,2
Curitiba,PR,11,2015,2015m11,50182,52.8,60964,0.008,864712.87,4,29,7
Manaus,AM,12,2015,2015m12,50057,52.24,13869,0.612,154795.72,5,28,7
Porto Alegre,RS,1,2016,2016m01,50070,22.21,84869,0.555,481299.43,2,217,2
Curitiba,PR,2,2016,2016m02,50380,16.07,10972,0.656,764119.73,8,65,7
Salvador,BA,3,2016,2016m03,49805,44.49,37048,0.523,210834.88,0,14,7
Curitiba,PR,4,2016,2016m04,49699,59.92,71084,0.594,696654.9,1,99,3
Salvador,BA,5,2016,2016m05,50308,23.33,77040,0.592,787064.25,3,59,3
Curitiba,PR,6,2016,2016m06,50263,63.43,19640,0.829,721041.81,2,86,6
Brasília,DF,7,2016,2016m07,50002,45.45,76357,0.661,655097.95,0,110,5
Salvador,BA,8,2016,2016m08,49940,37.57,82055,0.275,823044.57,4,209,7
Rio de Janeiro,RJ,9,2016,2016m09,49789,,27710,0.049,700043.19,11,77,4
Curitiba,PR,10,2016,2016m10,49623,30.54,68258,0.404,990273.86,3,82,5
Brasília,DF,11,2016,2016m11,50180,11.93,12920,0.654,204138.38,3,255,4
Fortaleza,CE,12,2016,2016m12,50010,68.09,16600,0.225,768398.26,0,251,7
Salvador,BA,1,2017,2017m01,50553,49.27,94271,0.973,213791.53,2,270,7
Rio de Janeiro,RJ,2,2017,2017m02,50024,39.18,67662,0.988,886655.98,2,173,11
Salvador,BA,3,2017,2017m03,49946,41.33,80543,0.456,865398.43,2,225,6
Recife,PE,4,2017,2017m04,50105,38.38,34107,0.963,138722.94,4,144,6
Recife,PE,5,2017,2017m05,50000,44.71,61162,0.744,347533.03,1,58,5
Rio de Janeiro,RJ,6,2017,2017m06,49964,48.31,54463,0.656,122067.23,2,238,3
Salvador,BA,7,2017,2017m07,49877,,38206,0.759,621092.36,1,281,2
Brasília,DF,8,2017,2017m08,49705,39.56,24246,0.682,828876.73,3,53,7
Manaus,AM,9,2017,2017m09,50026,,56162,0.829,442197.95,1,215,3
Curitiba,PR,10,2017,2017m10,50066,,89442,0.023,689059.71,3,58,7
Brasília,DF,11,2017,2017m11,49843,86.96,55983,0.902,638658.87,2,163,2
Fortaleza,CE,12,2017,2017m12,50245,52.35,65474,0.242,283168.07,2,298,4
Curitiba,PR,1,2018,2018m01,49793,56.0,58386,0.546,293521.82,1,25,5
Manaus,AM,2,2018,2018m02,49767,46.18,95514,0.855,810662.81,4,74,6
Belo Horizonte,MG,3,2018,2018m03,50192,76.0,30847,0.332,372688.57,4,269,3
Recife,PE,4,2018,2018m04,50227,62.9,21743,0.987,727271.43,4,128,10
Curitiba,PR,5,2018,2018m05,50153,34.39,99731,0.19,926838.97,0,193,6
Fortaleza,CE,6,2018,2018m06,50109,52.36,27385,0.211,536321.15,2,87,3
Manaus,AM,7,2018,2018m07,49448,44.2,27588,0.507,531381.25,4,270,7
Belo Horizonte,MG,8,2018,2018m08,49701,56.17,26459,0.077,842441.28,3,56,10
Manaus,AM,9,2018,2018m09,49861,64.95,18318,0.016,578779.2,3,13,8
Porto Alegre,RS,10,2018,2018m10,49984,31.65,29676,0.665,301705.78,1,251,4
Porto Alegre,RS,11,2018,2018m11,50144,55.38,39699,0.46,120003.39,2,282,11
Salvador,BA,12,2018,2018m12,49905,37.89,22271,0.711,113831.49,3,26,1
Salvador,BA,1,2019,2019m01,50194,71.25,25471,0.956,110083.51,4,66,8
Rio de Janeiro,RJ,2,2019,2019m02,49729,64.5,66514,0.943,417795.07,5,164,5
Rio de Janeiro,RJ,3,2019,2019m03,49904,20.15,76454,0.748,866406.95,2,35,4
Fortaleza,CE,4,2019,2019m04,50110,33.1,71385,0.431,763302.96,4,35,5
Fortaleza,CE,5,2019,2019m05,49781,29.84,74951,0.455,706805.93,2,266,2
Recife,PE,6,2019,2019m06,49915,49.08,24224,0.462,931331.43,6,199,4
Belo Horizonte,MG,7,2019,2019m07,50077,54.52,72692,0.858,636212.38,5,48,4
Manaus,AM,8,2019,2019m08,49781,61.87,58011,0.816,641320.0,3,175,2
Brasília,DF,9,2019,2019m09,50082,46.31,18684,0.706,571637.74,4,295,8
Curitiba,PR,10,2019,2019m10,49751,,36534,0.653,272551.54,3,299,3
Belo Horizonte,MG,11,2019,2019m11,50037,54.26,62689,0.28,974716.32,0,120,2
Brasília,DF,12,2019,2019m12,49799,97.26,35426,0.526,962833.92,4,190,11
São Paulo,SP,1,2020,2020m01,49826,27.28,86624,0.339,969056.78,1,295,5
Belo Horizonte,MG,2,2020,2020m02,49989,21.81,99513,0.577,177084.81,5,57,4
Rio de Janeiro,RJ,3,2020,2020m03,50208,41.96,30912,0.915,481543.23,4,43,3
Fortaleza,CE,4,2020,2020m04,50347,39.22,43129,0.552,506754.32,2,259,1
Porto Alegre,RS,5,2020,2020m05,49891,38.93,23316,0.998,499677.63,4,224,6
Recife,PE,6,2020,2020m06,49853,49.82,27678,0.499,156873.69,3,132,4
Brasília,DF,7,2020,2020m07,50036,32.45,76494,0.171,413396.76,3,109,5
Rio de Janeiro,RJ,8,2020,2020m08,50370,41.07,24743,0.98,479256.25,3,165,4
Belo Horizonte,MG,9,2020,2020m09,49853,45.58,76090,0.17,726828.93,2,205,4
São Paulo,SP,10,2020,2020m10,49835,45.93,10467,0.577,438981.61,4,87,5
Fortaleza,CE,11,2020,2020m11,50074,47.88,22244,0.726,547589.8,5,179,10
São Paulo,SP,12,2020,2020m12,50292,47.76,90474,0.484,960129.33,6,124,1
Belo Horizonte,MG,1,2021,2021m01,50173,37.89,23769,0.043,936224.77,7,286,8
Rio de Janeiro,RJ,2,2021,2021m02,50077,46.17,82289,0.629,319542.42,4,36,4
Belo Horizonte,MG,3,2021,2021m03,49919,49.92,28111,0.986,955615.8,4,85,4
Recife,PE,4,2021,2021m04,50036,64.4,67610,0.682,552704.1,3,155,10
Recife,PE,5,2021,2021m05,50060,27.79,41860,0.612,532690.3,4,176,5
Fortaleza,CE,6,2021,2021m06,49908,50.37,32931,0.59,570068.06,7,281,9
Fortaleza,CE,7,2021,2021m07,50096,52.47,25667,0.361,626613.85,7,47,4
Salvador,BA,8,2021,2021m08,50094,52.77,71432,0.288,301677.86,0,196,6
Belo Horizonte,MG,9,2021,2021m09,49461,53.47,16176,0.729,840580.6,5,189,7
Fortaleza,CE,10,2021,2021m10,49953,30.3,13589,0.292,214151.78,3,137,6
Recife,PE,11,2021,2021m11,50196,52.41,21265,0.913,495982.01,3,232,11
Curitiba,PR,12,2021,2021m12,50349,51.59,65918,0.193,463073.13,4,234,5
Porto Alegre,RS,1,2022,2022m01,50040,58.22,31103,0.974,297260.36,1,97,5
Rio de Janeiro,RJ,2,2022,2022m02,50145,47.5,83567,0.439,130280.2,3,180,2
Salvador,BA,3,2022,2022m03,50253,41.91,33155,0.095,146433.91,1,276,4
Salvador,BA,4,2022,2022m04,49853,65.02,22306,0.039,633475.4,5,290,4
Manaus,AM,5,2022,2022m05,49880,31.73,98152,0.831,935014.31,10,177,4
Manaus,AM,6,2022,2022m06,49925,29.39,14816,0.517,260860.71,0,283,3
Manaus,AM,7,2022,2022m07,49817,31.39,87516,0.195,268916.97,2,114,5
Rio de Janeiro,RJ,8,2022,2022m08,49910,55.19,27906,0.264,412526.95,5,46,4
São Paulo,SP,9,2022,2022m09,50041,39.16,26013,0.098,253797.22,3,274,2
Rio de Janeiro,RJ,10,2022,2022m10,49664,48.33,79624,0.258,497960.22,2,143,6
Salvador,BA,11,2022,2022m11,50183,70.78,88215,0.081,168759.29,3,52,6
Brasília,DF,12,2022,2022m12,49754,32.34,49274,0.416,894696.74,3,191,2
Fortaleza,CE,1,2023,2023m01,50098,24.48,19044,0.476,115783.94,1,216,7
Brasília,DF,2,2023,2023m02,49862,62.45,65694,0.56,779289.72,5,97,4
Fortaleza,CE,3,2023,2023m03,50013,37.48,50782,0.568,664347.72,6,216,5
Porto Alegre,RS,4,2023,2023m04,49855,32.42,63008,0.301,289872.41,1,286,4
Brasília,DF,5,2023,2023m05,49787,48.39,21865,0.871,944464.73,4,214,6
Belo Horizonte,MG,6,2023,2023m06,50115,47.13,35997,0.318,606306.96,5,72,4
Belo Horizonte,MG,7,2023,2023m07,50373,36.98,99769,0.582,865909.47,3,182,2
Manaus,AM,8,2023,2023m08,49818,58.43,88807,0.314,341231.33,4,142,8
Recife,PE,9,2023,2023m09,50046,38.31,16420,0.828,515966.54,6,229,5
Rio de Janeiro,RJ,10,2023,2023m10,49899,37.63,37409,0.998,645650.14,3,175,2
Belo Horizonte,MG,11,2023,2023m11,49861,22.02,49750,0.171,736765.22,1,57,5
São Paulo,SP,12,2023,2023m12,50098,13.18,76769,0.955,266580.08,4,111,6
Manaus,AM,1,2024,2024m01,49935,53.54,17040,0.071,959589.68,1,138,10
Manaus,AM,2,2024,2024m02,49856,30.19,36822,0.805,725300.23,3,180,5
Salvador,BA,3,2024,2024m03,49844,47.71,79395,0.943,954373.96,4,145,3
Brasília,DF,4,2024,2024m04,50030,78.91,34123,0.651,276072.24,4,68,3
Fortaleza,CE,5,2024,2024m05,49933,56.98,71599,0.327,572258.95,5,293,1
Salvador,BA,6,2024,2024m06,50298,50.42,58254,0.194,650375.02,1,40,3
Brasília,DF,7,2024,2024m07,50063,56.36,82107,0.82,164611.92,3,227,7
Belo Horizonte,MG,8,2024,2024m08,50148,82.36,68005,0.098,426836.76,1,224,5
Recife,PE,9,2024,2024m09,50004,21.71,44857,0.479,981726.1,7,151,7
Manaus,AM,10,2024,2024m10,49965,47.96,70358,0.798,726399.59,3,279,3
Porto Alegre,RS,11,2024,2024m11,49935,72.12,78550,0.826,333375.86,9,123,6
Rio de Janeiro,RJ,12,2024,2024m12,50299,54.62,43202,0.35,302373.17,2,133,2
Curitiba,PR,1,2000,2000m01,50199,68.07,84772,0.526,260761.03,2,90,5
Porto Alegre,RS,2,2000,2000m02,50364,40.62,11195,0.148,151275.71,3,34,8
Brasília,DF,3,2000,2000m03,50317,31.24,61784,0.575,180746.63,3,138,5
Salvador,BA,4,2000,2000m04,49962,78.67,81477,0.47,557339.34,5,183,5
São Paulo,SP,5,2000,2000m05,50090,51.13,92809,0.908,379225.47,3,222,8
Manaus,AM,6,2000,2000m06,50117,62.39,47134,0.465,751121.28,3,136,9
Recife,PE,7,2000,2000m07,49850,63.33,39360,0.635,821056.45,4,181,3
Recife,PE,8,2000,2000m08,49792,69.19,89897,0.368,505212.85,5,233,4
Manaus,AM,9,2000,2000m09,49937,54.42,53335,0.282,739921.1,2,36,6
Recife,PE,10,2000,2000m10,50010,55.07,53720,0.128,209019.93,2,203,6
Fortaleza,CE,11,2000,2000m11,50144,57.46,24545,0.504,277557.08,5,274,8
Porto Alegre,RS,12,2000,2000m12,49931,40.38,58130,0.528,554429.15,1,254,4
Salvador,BA,1,2001,2001m01,49909,65.76,37768,0.395,438865.86,5,63,7
Fortaleza,CE,2,2001,2001m02,49926,41.43,89998,0.558,976986.6,2,226,6
Salvador,BA,3,2001,2001m03,49847,66.6,11290,0.587,719057.62,2,102,4
Belo Horizonte,MG,4,2001,2001m04,49553,61.92,70107,0.121,771768.35,3,163,3
Belo Horizonte,MG,5,2001,2001m05,49967,16.9,73019,0.264,544898.28,5,209,3
São Paulo,SP,6,2001,2001m06,50029,62.1,40448,0.86,850094.71,3,67,6
Curitiba,PR,7,2001,2001m07,50170,53.5,73109,0.483,266648.0,4,208,6
Fortaleza,CE,8,2001,2001m08,49999,70.01,85334,0.347,437975.06,7,290,3
Recife,PE,9,2001,2001m09,50428,75.99,90067,0.071,681342.9,2,287,2
Porto Alegre,RS,10,2001,2001m10,49739,51.66,94077,0.509,550525.67,0,85,7
Manaus,AM,11,2001,2001m11,50073,55.36,98827,0.641,685292.5,4,213,3
Manaus,AM,12,2001,2001m12,50146,30.75,10369,0.566,283780.42,6,271,6
Salvador,BA,1,2002,2002m01,49990,47.47,34244,0.786,110907.61,3,289,6
Rio de Janeiro,RJ,2,2002,2002m02,50012,74.84,82765,0.28,708372.53,7,288,5
Salvador,BA,3,2002,2002m03,49677,50.01,75143,0.051,622544.77,4,294,4
Porto Alegre,RS,4,2002,2002m04,50139,63.91,95174,0.58,733618.68,4,219,8
Belo Horizonte,MG,5,2002,2002m05,49988,49.67,63476,0.231,674350.81,3,272,3
Rio de Janeiro,RJ,6,2002,2002m06,50037,48.25,97661,0.183,682377.13,5,248,3
Porto Alegre,RS,7,2002,2002m07,49656,58.62,82836,0.649,772948.57,6,213,3
Porto Alegre,RS,8,2002,2002m08,50064,6.32,34439,0.534,168077.49,5,239,7
Brasília,DF,9,2002,2002m09,49977,,84861,0.855,553630.67,2,56,5
Brasília,DF,10,2002,2002m10,50054,16.26,91900,0.772,851503.09,6,54,3
Curitiba,PR,11,2002,2002m11,50320,48.76,30750,0.453,847682.32,8,230,3
Belo Horizonte,MG,12,2002,2002m12,49721,37.47,12158,0.309,310022.41,4,289,6
Porto Alegre,RS,1,2003,2003m01,50147,32.67,97352,0.977,426900.53,3,22,5
Porto Alegre,RS,2,2003,2003m02,50132,72.17,64850,0.675,937891.24,5,246,9
Manaus,AM,3,2003,2003m03,49902,66.79,26733,0.989,810775.81,2,167,3
Rio de Janeiro,RJ,4,2003,2003m04,50076,44.66,73823,0.581,135344.24,3,87,6
Curitiba,PR,5,2003,2003m05,49877,85.67,28701,0.234,294227.88,5,271,5
Porto Alegre,RS,6,2003,2003m06,49735,64.91,78116,0.672,631959.84,3,212,7
Belo Horizonte,MG,7,2003,2003m07,50085,47.63,59601,0.906,521005.05,5,167,5
Rio de Janeiro,RJ,8,2003,2003m08,49272,21.69,15680,0.636,266101.97,3,215,1
Curitiba,PR,9,2003,2003m09,49583,48.52,47755,0.466,411333.77,4,276,11
Recife,PE,10,2003,2003m10,50066,40.53,45985,0.221,176574.82,3,284,6
Recife,PE,11,2003,2003m11,49980,43.06,96579,0.718,463418.63,4,173,6
Belo Horizonte,MG,12,2003,2003m12,49796,56.2,99682,0.313,715426.94,6,49,4
São Paulo,SP,1,2004,2004m01,50191,40.58,20512,0.435,423490.34,4,201,5
Manaus,AM,2,2004,2004m02,50056,69.81,82013,0.67,298822.17,4,156,8
São Paulo,SP,3,2004,2004m03,49668,42.05,40746,0.487,565411.31,2,65,5
Recife,PE,4,2004,2004m04,50133,34.67,97714,0.563,731709.35,3,70,7
Recife,PE,5,2004,2004m05,49831,59.74,61089,0.211,966475.36,6,236,4
Curitiba,PR,6,2004,2004m06,49709,49.58,88113,0.819,421433.09,4,12,8
São Paulo,SP,7,2004,2004m07,49789,62.83,15483,0.152,359015.84,0,196,4
Brasília,DF,8,2004,2004m08,49896,52.57,33107,0.173,450539.76,7,152,5
São Paulo,SP,9,2004,2004m09,50017,29.16,57678,0.059,957583.56,2,25,4
Salvador,BA,10,2004,2004m10,49994,54.56,55809,0.707,426113.34,5,12,3
Curitiba,PR,11,2004,2004m11,49913,36.38,90424,0.932,746131.84,1,211,3
Porto Alegre,RS,12,2004,2004m12,49595,52.19,30791,0.07,833681.49,4,65,7
Manaus,AM,1,2005,2005m01,50087,41.03,11311,0.177,365483.4,1,252,3
